,ChiSquaredMonteCarlo_comparisons
EZH2___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.00119988
EZH2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.268973103
EZH2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.04459554
KIT___LAML_TCGA_VS_CHR_NTUH_BP_CMML,1
KIT___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.320767923
KIT___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.602739726
KIT___CHR_NTUH_BP_CMML_VS_LAML_TCGA,1
KIT___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.571942806
KIT___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.515848415
KIT___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.320767923
KIT___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.571942806
KIT___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1
KIT___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.602739726
KIT___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.515848415
KIT___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,1
U2AF1___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.693930607
U2AF1___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.02039796
U2AF1___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.614538546
U2AF1___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.693930607
U2AF1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.560943906
U2AF1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,1
U2AF1___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.02049795
U2AF1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.559344066
U2AF1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.740925907
U2AF1___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.614538546
U2AF1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,1
U2AF1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.740925907
TET2___LAML_TCGA_VS_CHR_NTUH_BP_CMML,1.00E-04
TET2___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.02079792
TET2___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.143785621
TET2___CHR_NTUH_BP_CMML_VS_LAML_TCGA,1.00E-04
TET2___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,1.00E-04
TET2___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.00139986
TET2___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.02079792
TET2___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,1.00E-04
TET2___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1
TET2___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.142985701
TET2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.00139986
TET2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,1
KRAS___LAML_TCGA_VS_CHR_NTUH_BP_CMML,1
KRAS___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.299570043
KRAS___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.611538846
KRAS___CHR_NTUH_BP_CMML_VS_LAML_TCGA,1
KRAS___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.731226877
KRAS___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.622237776
KRAS___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.301469853
KRAS___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.731226877
KRAS___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1
KRAS___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.611538846
KRAS___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.622237776
KRAS___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,1
WT1___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.753024698
WT1___LAML_TCGA_VS_CHR_NTUH_BP_MDS,1
WT1___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.369963004
WT1___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.753024698
WT1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,1
WT1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.515848415
WT1___CHR_NTUH_BP_MDS_VS_LAML_TCGA,1
WT1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,1
WT1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.354464554
WT1___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.363163684
WT1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.515848415
WT1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.347265273
SRSF2___LAML_TCGA_VS_CHR_NTUH_BP_CMML,1.00E-04
SRSF2___LAML_TCGA_VS_CHR_NTUH_BP_MDS,1.00E-04
SRSF2___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.03269673
SRSF2___CHR_NTUH_BP_CMML_VS_LAML_TCGA,1.00E-04
SRSF2___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.00089991
SRSF2___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.00149985
SRSF2___CHR_NTUH_BP_MDS_VS_LAML_TCGA,1.00E-04
SRSF2___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.00069993
SRSF2___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.248775122
SRSF2___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.03269673
SRSF2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.00139986
SRSF2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.244675532
STAG2___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.644135586
STAG2___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.00819918
STAG2___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.613438656
STAG2___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.644135586
STAG2___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.353764624
STAG2___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.515848415
STAG2___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.00819918
STAG2___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.353764624
STAG2___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.121987801
STAG2___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.613438656
STAG2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.515848415
STAG2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.120387961
JAK2___LAML_TCGA_VS_CHR_NTUH_BP_CMML,1
JAK2___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.558344166
JAK2___LAML_TCGA_VS_CHR_NTUH_BP_MPN,1.00E-04
JAK2___CHR_NTUH_BP_CMML_VS_LAML_TCGA,1
JAK2___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.613538646
JAK2___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,1.00E-04
JAK2___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.558344166
JAK2___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.613538646
JAK2___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1.00E-04
JAK2___CHR_NTUH_BP_MPN_VS_LAML_TCGA,1.00E-04
JAK2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,1.00E-04
JAK2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,1.00E-04
CALR___LAML_TCGA_VS_CHR_NTUH_BP_CMML,1
CALR___LAML_TCGA_VS_CHR_NTUH_BP_MDS,1
CALR___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.01209879
CALR___CHR_NTUH_BP_CMML_VS_LAML_TCGA,1
CALR___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.614938506
CALR___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.04229577
CALR___CHR_NTUH_BP_MDS_VS_LAML_TCGA,1
CALR___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.614938506
CALR___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.03179682
CALR___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.01209879
CALR___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.04229577
CALR___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.03179682
SETBP1___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.01179882
SETBP1___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.00389961
SETBP1___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.062793721
SETBP1___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.01179882
SETBP1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.747925207
SETBP1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,1
SETBP1___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.00389961
SETBP1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.747925207
SETBP1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1
SETBP1___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.062793721
SETBP1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,1
SETBP1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,1
CBL___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.02149785
CBL___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.432856714
CBL___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.02029797
CBL___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.02149785
CBL___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.203579642
CBL___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,1
CBL___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.433656634
CBL___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.203579642
CBL___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.089991001
CBL___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.02029797
CBL___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,1
CBL___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.089991001
GATA2___LAML_TCGA_VS_CHR_NTUH_BP_CMML,1
GATA2___LAML_TCGA_VS_CHR_NTUH_BP_MDS,1
GATA2___LAML_TCGA_VS_CHR_NTUH_BP_MPN,1
GATA2___CHR_NTUH_BP_CMML_VS_LAML_TCGA,1
GATA2___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,1
GATA2___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,1
GATA2___CHR_NTUH_BP_MDS_VS_LAML_TCGA,1
GATA2___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,1
GATA2___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1
GATA2___CHR_NTUH_BP_MPN_VS_LAML_TCGA,1
GATA2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,1
GATA2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,1
SF3B1___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.00129987
SF3B1___LAML_TCGA_VS_CHR_NTUH_BP_MDS,1.00E-04
SF3B1___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.00479952
SF3B1___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.00129987
SF3B1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,1
SF3B1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,1
SF3B1___CHR_NTUH_BP_MDS_VS_LAML_TCGA,1.00E-04
SF3B1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,1
SF3B1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1
SF3B1___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.00479952
SF3B1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,1
SF3B1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,1
BCOR___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.149985001
BCOR___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.00389961
BCOR___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.067793221
BCOR___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.160083992
BCOR___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.731226877
BCOR___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,1
BCOR___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.00389961
BCOR___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.731226877
BCOR___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1
BCOR___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.067793221
BCOR___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,1
BCOR___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,1